s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
198.2652956,89638.4654174,43182.8422417,-2.1728258,0.0673009,9.5852758,-2.8685690
199.2737932,89639.3142628,43182.2976970,-2.0884531,0.1083034,9.2814789,-1.1043517
200.2470592,89640.1850524,43181.8629876,-1.9717900,0.1304489,9.1618369,-0.9515133
201.1973822,89641.0817727,43181.5483346,-1.8433826,0.1330805,9.0574855,-0.4841342
202.1718079,89642.0349312,43181.3458642,-1.7034015,0.1459022,9.0039269,-0.3764927
203.2222234,89643.0833634,43181.2813466,-1.5624141,0.1453533,8.9620552,-0.3764927
204.1824385,89644.0401284,43181.3626727,-1.4220346,0.1272671,8.9199869,1.5929067
205.1869532,89645.0225954,43181.5719772,-1.2994700,0.1187040,9.0966444,1.8653287
206.2212222,89646.0007282,43181.9080852,-1.1829436,0.1139463,9.2992493,1.1704995
207.2188933,89646.9004569,43182.3391720,-1.0805690,0.0865258,9.4241605,3.9281299
208.2220918,89647.7642929,43182.8492648,-1.0092892,0.0563821,9.8317630,4.8468895
209.2188817,89648.5926814,43183.4036677,-0.9659965,0.0293960,10.3125211,4.8014933
210.2399100,89649.4239998,43183.9964649,-0.9476879,0.0073126,10.7676327,4.7565223
211.2401767,89650.2341000,43184.5832111,-0.9516543,-0.0157722,11.2002625,-6.4585389
212.2165203,89651.0336562,43185.1435294,-0.9797041,-0.0417400,10.6085404,-5.6267136
213.1825048,89651.8465468,43185.6653866,-1.0328447,-0.0665812,10.0647127,-5.0611689
214.1664781,89652.7073198,43186.1421186,-1.1065268,-0.0794673,9.5491237,-4.8863368
215.2110947,89653.6589359,43186.5729906,-1.1857497,-0.0788484,9.0234371,-5.9431624
216.2283712,89654.6166642,43186.9159307,-1.2705333,-0.0846625,8.3395105,-5.7390044
217.2577534,89655.6121893,43187.1777656,-1.3696986,-0.1154796,7.6210486,-1.9965704
218.2286602,89656.5733751,43187.3148124,-1.4981888,-0.1422772,7.3546619,-1.6516172
219.1980927,89657.5428017,43187.3181895,-1.6400029,-0.1485551,7.1267784,-0.3252600
220.1758593,89658.5108270,43187.1805136,-1.7908284,-0.1607657,7.0810360,-9.5329343
221.1546096,89659.4462355,43186.8924806,-1.9574575,-0.1792936,5.5761454,-0.1443979
222.1344437,89660.3178116,43186.4447866,-2.1442165,-0.1991597,5.5502142,-0.1443979
223.1260403,89661.0943395,43185.8281276,-2.3440903,-0.1976053,5.5241613,5.1569546
224.1580882,89661.7587076,43185.0383569,-2.5226185,-0.1470881,6.3890863,5.1086543
225.2501124,89662.3229640,43184.1034068,-2.6873116,-0.1653994,7.1433872,-2.5103702
226.3214903,89662.7042382,43183.1021673,-2.8580225,-0.1737787,6.7832170,-1.6593330
227.2444053,89662.8788505,43182.1959208,-3.0764703,-0.2587992,6.5342584,-0.1982829
228.2095895,89662.8261890,43181.2321743,2.9707198,-0.2419138,6.5038716,-0.1982829
229.1687974,89662.5538456,43180.3124413,2.8234189,-0.0667953,6.4733422,5.1035743
230.0755592,89662.2427362,43179.4607207,2.7110554,-0.1472748,7.2181415,3.9034038
231.1651734,89661.7228750,43178.5031178,2.5576942,-0.1759479,7.7395687,0.6111624
232.1476454,89661.1051771,43177.7391148,2.3938909,-0.1348879,7.8180612,3.7068710
233.1521270,89660.3748711,43177.0494508,2.2716962,-0.1079623,8.2782092,4.4185473
234.1868447,89659.5490561,43176.4260165,2.1606247,-0.1083881,8.7953061,3.3383395
235.2347701,89658.6468774,43175.8928924,2.0486724,-0.1085250,9.1666633,2.4154000
236.2634426,89657.7080204,43175.4725180,1.9463613,-0.0933344,9.4262350,3.2937922
237.2363250,89656.7868601,43175.1595262,1.8623178,-0.0740639,9.7690943,4.4320610
